crop,seed_type,soil,state,district,town_city,season,total_duration_estimate,sw_stage_dur,sw_tmin,sw_tmax,sw_rh,sw_rain,sw_wind,sw_solar_rad,sd_e_stage_dur,sd_e_tmin,sd_e_tmax,sd_e_rh,sd_e_rain,sd_e_wind,sd_e_solar_rad,tilrr_stage_dur,tilrr_tmin,tilrr_tmax,tilrr_rh,tilrr_rain,tilrr_wind,tilrr_solar_rad,stel_stage_dur,stel_tmin,stel_tmax,stel_rh,stel_rain,stel_wind,stel_solar_rad,btng_stage_dur,btng_tmin,btng_tmax,btng_rh,btng_rain,btng_wind,btng_solar_rad,hdng_stage_dur,hdng_tmin,hdng_tmax,hdng_rh,hdng_rain,hdng_wind,hdng_solar_rad,flwr_stage_dur,flwr_tmin,flwr_tmax,flwr_rh,flwr_rain,flwr_wind,flwr_solar_rad,grnm_stage_dur,grnm_tmin,grnm_tmax,grnm_rh,grnm_rain,grnm_wind,grnm_solar_rad,grnd_stage_dur,grnd_tmin,grnd_tmax,grnd_rh,grnd_rain,grnd_wind,grnd_solar_rad,rpng_stage_dur,rpng_tmin,rpng_tmax,rpng_rh,rpng_rain,rpng_wind,rpng_solar_rad,hrvst_stage_dur,hrvst_tmin,hrvst_tmax,hrvst_rh,hrvst_rain,hrvst_wind,hrvst_solar_rad
Soybean,NRC 37,Red loam,Madhya Pradesh,Barwani,Singrauli,Kharif,109,6,22.0,33.5,74,2.4,3.5,690,9,21.5,33.4,72,7.4,3.9,659,14,25.3,33.6,64,5.0,4.7,664,11,23.0,33.2,67,6.9,2.8,549,8,26.0,32.5,61,4.4,5.1,639,6,25.1,32.5,72,4.3,3.7,568,10,24.0,29.3,60,3.0,5.8,535,9,25.7,31.5,67,6.9,2.2,666,15,25.0,31.0,73,6.1,6.2,659,14,21.5,31.1,72,7.0,7.7,588,7,22.8,27.4,72,5.0,2.1,574
Soybean,RVS 2001-4,Sandy loam,Madhya Pradesh,Mandla,Chhatarpur,Kharif,94,5,23.5,33.3,68,3.7,5.3,564,7,22.5,30.5,59,4.1,2.6,583,14,23.9,28.7,60,3.1,7.8,616,11,22.7,32.1,67,2.9,3.3,678,11,26.5,33.8,69,2.7,3.3,516,1,27.4,30.1,70,2.3,4.7,659,8,27.8,31.8,71,3.5,2.4,573,11,23.3,31.6,64,4.2,5.3,471,11,25.3,31.9,66,5.3,5.6,453,10,21.1,27.3,62,4.8,4.5,647,5,18.2,26.0,73,2.5,4.3,591
Soybean,NRC 37,Deep Black (Vertisol),Madhya Pradesh,Rewa,Khargone,Kharif,107,4,21.9,28.5,72,5.5,4.7,659,9,21.0,30.3,73,3.5,2.0,468,14,22.9,29.8,70,3.8,4.0,513,12,24.5,28.9,62,3.0,5.2,497,8,24.7,31.9,57,7.0,4.7,454,9,24.3,33.0,66,7.4,4.5,642,10,25.2,28.5,67,7.8,3.7,658,15,24.4,28.7,64,6.8,2.5,517,10,24.8,30.6,68,3.1,7.9,668,10,22.3,30.6,65,5.4,6.5,600,6,22.7,27.3,61,2.8,3.0,606
Wheat,HI 8759 (Pusa Tejas),Deep Black (Vertisol),Madhya Pradesh,Agar Malwa,Jabalpur,Rabi,122,3,13.2,26.0,51,0.3,3.9,536,12,13.4,20.5,46,2.3,5.4,498,26,15.3,19.2,50,0.3,6.9,466,19,10.7,21.4,59,2.0,5.1,463,8,13.4,19.5,57,1.5,4.7,406,5,13.7,21.4,59,0.9,7.9,509,7,19.3,25.8,61,0.3,3.6,619,13,20.2,24.6,63,1.1,3.1,534,12,16.5,22.3,49,0.5,2.5,597,12,16.3,25.7,55,2.5,7.8,527,5,13.9,29.7,62,0.2,5.4,433
Soybean,JS 93-05,Clay loam,Madhya Pradesh,Indore,Sanwer,Kharif,108,8,22.3,31.5,63,3.0,6.1,631,10,21.3,30.8,59,7.1,3.7,549,11,24.7,29.4,67,4.4,5.9,634,11,25.9,34.0,72,4.8,7.8,625,9,27.5,32.8,67,5.4,6.8,509,2,24.4,32.5,72,5.5,5.8,529,7,27.9,30.7,58,6.4,2.5,682,8,23.1,31.4,68,3.2,2.6,695,13,25.7,31.1,58,6.3,2.8,465,18,20.6,29.2,55,7.0,7.3,679,11,21.1,28.1,66,7.4,3.0,541
Lentil,PL 6,Medium Black (Vertisol),Madhya Pradesh,Khargone,Guna,Rabi,96,6,11.4,22.5,45,2.0,3.3,563,8,10.9,20.5,42,1.5,4.5,641,11,12.2,20.1,52,0.6,2.5,464,15,12.6,18.7,53,0.1,6.8,561,7,11.3,23.0,58,1.9,2.1,528,5,13.9,20.7,59,2.3,5.0,520,6,9.2,22.7,43,1.2,4.1,414,13,12.3,18.9,40,1.6,4.8,421,11,16.0,23.6,58,1.1,8.0,585,8,8.5,24.5,51,0.6,2.6,530,6,13.8,26.0,52,0.5,7.6,482
Rice,JRH 8,Silty clay loam,Madhya Pradesh,Hoshangabad,Hoshangabad,Kharif,126,9,24.4,35.5,71,8.5,4.5,586,10,24.9,34.1,78,6.1,5.5,606,23,25.3,32.3,85,4.3,8.6,557,23,25.9,30.1,82,6.3,5.6,621,7,22.9,31.0,78,8.1,5.7,678,5,26.5,33.2,66,5.0,8.0,632,7,24.7,30.9,82,4.1,7.5,624,14,27.5,33.9,72,5.1,11.4,574,11,22.3,30.6,72,4.4,11.3,557,11,21.6,31.7,79,8.4,7.1,639,6,18.5,30.0,71,4.1,7.5,467
Soybean,JS 93-05,Silty clay loam,Madhya Pradesh,Mandla,Shajapur,Kharif,107,3,21.2,31.2,55,5.6,7.0,619,12,21.7,29.9,67,5.2,7.1,648,16,22.1,32.1,58,7.4,2.6,491,13,23.0,28.3,75,4.3,7.3,570,9,24.2,29.0,59,2.5,3.6,604,2,27.1,31.1,72,6.8,6.4,626,8,25.7,29.6,57,6.3,7.5,507,13,24.9,27.1,68,5.9,4.3,509,11,23.4,26.4,61,3.4,2.7,648,12,21.6,27.0,63,7.3,5.5,527,8,22.8,31.8,59,4.1,2.6,656
Pearl millet,MPH 1735,Sandy loam,Madhya Pradesh,Ujjain,Ujjain,Kharif,101,3,22.9,37.6,57,1.6,4.0,596,7,23.5,31.6,57,1.7,3.9,625,14,26.9,34.7,55,3.4,3.2,563,16,27.9,32.4,42,3.5,2.9,589,10,22.9,34.0,45,4.1,2.0,633,7,27.7,36.0,57,1.9,5.2,664,8,24.1,33.5,42,4.9,6.4,713,12,26.6,36.7,46,3.0,5.7,697,10,22.3,31.8,59,1.5,7.3,534,11,25.9,38.0,56,3.0,8.0,561,3,26.2,36.4,55,2.0,7.3,624
Wheat,GW 322,Medium Black (Vertisol),Madhya Pradesh,Ratlam,Mandla,Rabi,120,4,14.3,22.8,52,2.8,3.0,462,9,14.2,21.8,53,0.3,5.5,629,23,15.9,23.0,57,2.2,2.3,580,23,11.2,19.8,55,0.5,2.2,517,7,9.4,18.0,58,1.8,4.5,615,6,13.0,18.4,63,0.0,7.7,600,3,22.0,24.9,48,2.5,7.7,641,13,18.8,27.3,56,2.0,4.6,421,12,17.0,22.7,53,0.6,3.9,565,11,12.3,20.1,51,0.5,2.1,502,9,12.6,29.6,56,2.8,7.6,433
Soybean,JS 20-29,Deep Black (Vertisol),Madhya Pradesh,Ratlam,Ratlam,Kharif,108,7,21.3,29.5,66,4.4,5.7,603,9,20.4,28.7,69,3.3,6.0,655,15,23.4,30.9,71,4.4,4.5,461,11,24.4,29.5,75,2.1,2.1,697,9,27.5,30.5,60,7.4,4.7,454,3,25.0,28.9,61,5.6,4.5,504,4,25.6,31.1,69,3.2,7.8,592,16,22.5,26.9,67,5.1,7.4,593,14,22.5,28.8,69,6.9,7.7,553,11,22.0,30.5,58,6.9,3.5,629,9,22.4,26.9,56,5.3,4.4,558
Maize,HQPM-1,Clay loam,Madhya Pradesh,Chhatarpur,Khargone,Kharif,118,4,23.0,29.0,58,3.1,2.1,502,6,23.5,27.1,53,2.6,4.9,661,15,19.4,32.4,54,2.6,7.3,683,18,19.6,30.0,70,2.2,6.8,613,15,18.4,27.7,62,3.1,4.3,643,7,23.9,26.1,57,4.1,3.9,554,9,19.2,30.7,64,5.0,4.9,653,14,22.8,27.9,50,2.9,5.8,544,12,19.1,26.5,60,3.2,4.5,648,10,18.8,33.7,52,4.7,4.1,615,8,19.8,30.6,70,3.0,6.2,629
Soybean,NRC 127,Clay loam,Madhya Pradesh,Singrauli,Shivpuri,Kharif,112,8,21.0,33.8,71,6.2,4.6,508,10,21.0,32.0,55,3.0,7.2,626,15,23.9,33.1,71,5.2,3.8,526,11,23.5,33.5,62,6.3,2.6,672,12,25.0,32.1,72,2.6,2.1,637,5,25.3,31.9,71,2.1,5.8,542,7,27.8,31.4,74,5.5,7.3,558,12,23.2,30.2,62,3.0,6.6,462,10,25.2,28.2,56,3.4,2.2,659,12,21.2,29.6,66,6.2,2.8,584,10,18.4,31.1,65,2.2,4.6,685
Rice,JR 201,Medium Black (Vertisol),Madhya Pradesh,Betul,Betul,Kharif,139,9,22.0,34.8,62,4.0,10.0,588,10,22.1,33.2,84,7.7,6.7,483,24,22.5,30.4,83,7.6,6.2,552,18,25.8,34.7,69,5.9,4.0,540,11,24.7,32.0,85,8.2,7.0,580,8,26.8,30.7,62,6.0,6.4,549,10,27.7,33.4,64,8.8,5.5,604,11,25.2,31.5,81,4.1,2.1,616,18,25.6,28.9,76,8.0,4.4,649,10,21.1,32.2,82,4.8,8.0,504,10,23.7,30.7,78,5.3,4.8,461
Mustard,RH 406,Medium Black (Vertisol),Madhya Pradesh,Jabalpur,Patan,Rabi,123,5,10.1,23.5,58,0.3,4.0,580,9,10.4,19.0,40,1.7,5.9,530,11,10.5,20.2,54,1.3,5.8,561,21,12.2,18.3,59,2.7,6.3,581,12,12.8,20.7,58,0.9,5.2,458,6,13.2,23.9,49,1.8,4.0,578,12,11.8,21.2,44,2.6,6.7,587,13,14.2,24.2,53,0.1,4.1,497,15,12.0,19.7,42,2.9,2.5,415,9,13.1,20.9,59,2.7,4.4,646,10,11.1,20.2,47,2.7,5.8,596
Rice,Swarna,Clay loam,Madhya Pradesh,Chhindwara,Sausar,Kharif,123,4,25.0,31.0,72,4.0,11.3,496,8,25.5,33.7,63,5.6,3.3,607,18,25.1,30.8,81,8.7,2.5,527,19,25.2,34.4,64,10.0,12.0,599,8,24.9,30.8,75,5.2,8.6,676,11,27.6,33.2,80,5.1,9.5,559,7,25.1,33.4,71,4.0,6.3,491,20,25.9,33.6,77,5.9,2.1,692,14,23.0,29.5,71,6.3,2.7,587,8,20.7,32.2,69,4.7,10.5,471,6,20.2,26.0,70,8.1,2.9,643
Soybean,NRC 127,Shallow Black (Vertisol),Madhya Pradesh,Mandsaur,Gwalior,Kharif,105,5,22.8,33.4,64,5.6,2.3,651,10,21.8,28.4,73,3.9,4.7,679,16,22.1,30.0,63,6.6,5.7,595,9,24.0,28.4,56,2.3,4.6,513,5,26.3,32.5,68,5.3,2.3,658,6,25.3,30.6,56,2.8,3.3,472,11,26.4,32.3,74,3.6,7.0,579,9,23.4,28.8,71,6.8,2.3,613,12,25.2,30.1,67,2.0,4.1,455,14,23.7,31.3,62,7.2,3.1,481,8,21.6,31.9,55,3.9,2.9,504
Wheat,JW 3288,Shallow Black (Vertisol),Madhya Pradesh,Narsinghpur,Tikamgarh,Rabi,116,5,13.6,24.6,53,2.6,5.4,439,7,12.8,23.9,46,1.8,5.5,474,30,14.2,22.4,60,0.9,6.4,583,13,14.8,21.3,52,0.9,5.1,420,8,13.2,16.6,61,2.4,3.3,554,11,15.5,18.9,49,0.8,3.8,550,4,18.8,27.3,60,2.8,4.6,518,10,19.7,24.2,59,0.5,7.5,518,11,16.9,25.8,49,0.1,4.4,435,11,15.0,23.6,56,2.3,2.4,629,6,12.4,20.4,46,0.0,6.6,555
Mustard,DRMR 150-35,Shallow Black (Vertisol),Madhya Pradesh,Jhabua,Balaghat,Rabi,113,2,10.8,19.3,56,0.5,7.7,554,9,10.8,20.7,48,2.4,6.7,615,16,11.3,19.0,59,1.9,3.1,625,18,12.9,18.2,44,0.1,7.1,494,11,15.1,21.1,46,0.0,3.5,589,7,13.1,18.9,42,1.3,5.1,448,10,12.9,24.6,44,1.6,2.0,554,12,15.3,20.1,43,0.9,3.2,400,13,11.6,23.5,53,0.8,7.7,534,7,11.2,22.8,46,1.9,6.1,617,8,15.1,25.3,58,1.3,3.7,551
Soybean,JS 95-60,Red loam,Madhya Pradesh,Khargone,Panna,Kharif,103,1,20.8,30.7,61,6.8,7.2,561,10,22.5,32.7,61,2.9,2.7,515,18,24.1,30.7,71,5.9,2.2,488,10,22.4,33.8,62,7.6,7.4,589,10,26.6,28.6,73,8.0,6.8,626,1,27.8,31.2,70,3.4,5.1,651,11,24.6,33.8,67,3.7,5.1,515,13,25.8,31.7,65,6.3,2.7,492,12,22.8,31.9,56,6.3,3.2,454,10,20.7,32.0,65,4.9,2.9,630,7,19.9,29.1,73,3.5,3.8,699
Wheat,MP 1203,Alluvial loam,Madhya Pradesh,Burhanpur,Panna,Rabi,122,8,13.8,23.5,63,1.2,5.1,497,14,11.6,21.3,61,0.6,3.5,542,25,11.1,19.1,52,1.5,6.1,611,24,15.6,20.8,63,2.6,2.7,593,6,12.6,18.8,49,0.4,4.0,579,4,12.4,19.7,48,0.6,5.2,576,1,18.7,23.9,53,3.0,2.4,557,14,21.1,25.8,57,1.6,7.2,432,12,18.9,23.0,48,2.5,4.1,449,11,14.6,22.1,51,2.2,5.8,480,3,10.5,23.0,46,0.8,3.9,582
Wheat,JW 3288,Deep Black (Vertisol),Madhya Pradesh,Agar Malwa,Umaria,Rabi,123,7,12.7,21.8,53,1.0,3.5,619,9,11.8,23.3,50,0.2,7.1,641,29,15.2,20.9,46,3.0,5.2,411,23,12.5,20.5,54,2.0,4.5,421,7,9.4,18.5,58,2.7,4.8,641,7,15.7,18.7,50,0.6,4.2,443,2,18.5,26.2,56,0.4,6.0,623,15,18.5,26.0,58,0.5,3.9,509,10,16.3,23.1,51,1.7,3.3,573,7,13.3,23.9,60,2.7,3.6,532,7,16.4,26.8,64,0.6,4.1,564
Wheat,C-306,Silty clay loam,Madhya Pradesh,Dewas,Dewas,Rabi,109,5,17.1,23.7,45,0.8,2.4,507,14,12.5,20.7,61,1.6,7.0,445,17,13.2,21.4,62,2.6,6.8,611,18,14.8,18.2,47,2.7,4.3,643,5,12.3,21.5,53,2.4,4.8,557,7,13.3,21.4,46,0.7,4.2,477,5,19.7,23.2,58,1.6,5.2,441,13,18.1,28.5,58,1.6,2.0,426,10,17.3,27.9,47,2.2,2.3,527,10,12.0,24.2,53,2.3,7.4,584,5,12.6,20.7,59,2.5,3.2,516
Soybean,JS 93-05,Shallow Black (Vertisol),Madhya Pradesh,Singrauli,Tarana,Kharif,108,4,23.3,30.4,69,5.7,6.2,478,11,23.2,30.4,67,6.6,7.4,481,15,22.4,30.0,71,3.5,3.6,614,12,22.8,30.9,65,3.6,4.4,698,6,24.9,30.3,68,6.1,6.7,671,5,25.3,30.6,65,4.2,4.1,512,10,26.5,29.8,59,3.8,3.1,495,13,24.6,30.9,56,2.3,3.7,671,11,22.4,31.0,59,3.8,2.7,546,12,20.6,26.1,75,4.0,4.5,626,9,22.1,28.3,56,6.0,6.8,596
Soybean,JS 95-60,Red loam,Madhya Pradesh,Morena,Singrauli,Kharif,104,2,20.3,28.3,56,6.7,2.2,637,6,22.0,32.1,71,6.9,2.6,563,18,23.0,28.3,59,7.1,5.8,646,14,23.4,29.2,64,4.5,5.8,674,9,27.9,33.3,55,5.2,5.3,631,5,24.4,32.3,57,5.6,7.7,589,10,24.8,33.5,62,3.9,4.9,520,15,22.4,28.9,64,6.2,2.8,596,8,23.4,28.7,62,7.5,7.2,512,11,23.7,32.0,73,4.3,4.4,564,6,22.9,27.5,56,3.7,4.5,525
Soybean,RVS 2001-4,Alluvial loam,Madhya Pradesh,Dewas,Kannod,Kharif,104,5,20.7,29.3,60,5.7,5.4,604,10,21.5,31.9,62,5.1,4.2,668,14,22.2,28.7,64,6.4,2.7,584,13,25.0,33.7,57,6.1,4.4,498,4,25.4,30.8,62,7.1,6.3,557,5,26.5,29.9,68,6.2,4.3,647,7,25.2,32.3,68,5.9,4.7,527,11,24.0,27.9,61,4.6,4.5,539,15,24.2,31.2,71,4.7,2.6,551,13,20.4,26.5,65,7.2,3.6,455,7,21.1,30.1,70,2.2,6.3,565
Soybean,JS 95-60,Shallow Black (Vertisol),Madhya Pradesh,Chhatarpur,Bhind,Kharif,102,6,21.9,33.8,73,3.3,6.4,475,9,23.5,33.8,71,7.9,7.8,497,17,23.6,31.8,58,8.0,4.6,610,13,24.0,31.2,57,3.0,3.1,513,11,25.1,32.8,64,4.3,4.9,607,4,27.9,30.3,71,3.6,7.8,586,8,27.0,29.1,60,2.9,3.6,581,11,22.5,28.4,57,5.4,5.6,482,9,23.2,27.7,73,4.1,2.2,696,10,23.2,28.6,59,2.6,4.2,465,4,21.6,26.4,66,2.8,8.0,618
Soybean,JS 335,Medium Black (Vertisol),Madhya Pradesh,Agar Malwa,Shajapur,Kharif,105,2,22.0,29.5,73,2.5,7.0,523,12,20.1,31.8,69,4.5,2.4,531,13,25.5,30.6,75,2.2,2.6,612,14,25.4,31.5,58,3.9,2.0,521,6,27.0,29.3,62,2.1,6.6,540,5,24.7,29.8,59,5.0,2.9,632,11,25.6,30.4,73,7.1,5.1,694,11,25.9,31.6,64,6.4,3.6,477,13,23.4,27.5,59,6.4,3.9,593,11,22.9,26.3,57,4.3,5.5,496,7,20.4,31.7,66,6.6,7.1,571
Maize,HQPM-1,Alluvial loam,Madhya Pradesh,Singrauli,Harda,Kharif,121,6,23.9,34.4,54,4.7,7.7,563,7,21.5,27.1,70,2.5,4.1,597,17,23.4,34.2,55,3.6,3.9,646,16,21.2,27.9,55,5.2,7.2,501,11,19.0,28.9,61,3.0,4.5,521,8,22.3,34.2,63,2.3,6.4,653,8,18.3,29.2,51,4.9,7.0,674,15,19.9,32.6,53,2.5,5.3,660,14,20.4,27.1,65,4.4,4.8,661,11,18.4,28.1,55,2.3,6.8,560,8,21.1,34.1,57,5.1,5.6,606
Chickpea,JG 11,Sandy loam,Madhya Pradesh,Burhanpur,Barwani,Rabi,113,9,10.0,23.0,47,0.2,6.6,577,7,14.6,21.9,56,0.2,6.6,426,14,12.6,26.4,54,0.1,6.9,550,17,14.6,21.4,51,1.5,5.1,609,9,11.5,24.3,58,1.0,4.1,495,4,13.0,22.9,44,0.9,5.1,468,9,16.1,22.2,46,1.0,5.6,585,13,14.6,21.0,49,0.3,7.9,536,13,15.3,23.3,49,0.3,3.8,440,11,13.1,23.6,46,0.1,5.3,526,7,12.1,22.3,44,1.3,7.0,585
Rice,IR-64,Alluvial loam,Madhya Pradesh,Chhindwara,Chhindwara,Kharif,126,8,24.3,33.4,82,6.4,4.9,619,9,25.1,31.5,69,9.4,10.7,630,23,22.5,32.4,67,9.1,5.7,517,22,23.0,30.2,68,5.0,4.0,542,9,22.5,30.9,74,7.2,7.0,551,6,26.3,30.1,62,7.6,7.3,550,8,26.1,33.6,67,8.1,9.9,565,14,25.4,31.0,79,7.8,3.7,564,13,25.5,33.6,70,9.2,8.2,653,8,22.7,31.6,75,7.6,2.2,601,6,22.0,27.6,60,4.9,6.6,678
Soybean,JS 335,Alluvial loam,Madhya Pradesh,Burhanpur,Alirajpur,Kharif,104,8,21.6,29.1,73,4.5,7.9,457,11,23.9,31.8,57,2.1,3.4,644,14,24.5,30.2,73,7.3,6.1,624,10,24.2,28.4,59,4.8,2.7,656,6,24.5,32.1,70,4.3,6.7,574,2,25.5,32.3,69,5.1,5.2,547,11,27.2,31.1,63,2.5,3.7,472,15,23.6,27.6,71,7.3,3.2,540,12,25.0,28.8,64,7.1,3.4,451,11,20.5,27.5,67,5.8,2.6,654,4,23.1,26.1,64,5.6,6.2,452
Soybean,JS 20-34,Sandy loam,Madhya Pradesh,Indore,Indore,Kharif,112,7,21.6,28.1,71,3.8,4.9,582,11,22.2,33.9,65,7.6,7.8,676,14,25.5,29.2,72,7.2,5.0,465,13,24.5,29.4,73,4.7,7.8,546,11,26.5,30.5,62,5.4,3.4,537,3,26.4,33.9,66,4.1,4.7,624,8,26.3,32.7,71,2.9,4.7,612,10,25.9,28.2,57,2.9,7.2,637,13,24.6,27.3,60,3.7,2.3,523,15,20.1,30.1,70,4.4,3.7,508,7,19.0,29.3,65,5.3,6.5,586
Wheat,HD 2967,Deep Black (Vertisol),Madhya Pradesh,Neemuch,Kannod,Rabi,119,6,16.0,21.6,55,2.0,5.5,408,10,10.9,23.8,58,1.6,7.6,488,25,12.9,19.1,50,1.7,6.1,628,17,10.1,19.3,49,0.3,3.7,514,8,10.7,18.6,58,0.3,6.2,504,7,13.1,18.1,53,2.5,5.8,460,7,18.8,23.7,52,1.2,3.2,570,12,18.7,24.4,52,1.7,6.2,436,9,18.3,27.3,63,0.2,2.6,465,10,16.8,23.4,64,2.5,5.2,635,8,10.8,27.1,57,0.0,4.7,542
Soybean,JS 20-34,Shallow Black (Vertisol),Madhya Pradesh,Tikamgarh,Bhind,Kharif,107,6,21.5,30.2,64,2.7,3.1,681,12,22.5,30.0,61,5.5,5.2,487,18,24.8,30.1,56,2.4,5.6,540,12,25.3,29.9,67,6.9,2.8,517,9,25.7,29.8,57,7.9,6.8,531,6,25.1,32.0,59,5.7,4.1,587,6,27.6,29.8,56,5.7,5.8,589,11,25.7,28.6,70,7.7,2.8,594,10,24.7,28.7,74,4.5,4.9,639,10,22.4,27.0,65,6.1,7.6,671,7,19.8,31.5,71,4.1,6.4,476
Mustard,RH 406,Shallow Black (Vertisol),Madhya Pradesh,Harda,Morena,Rabi,116,5,15.6,24.3,46,2.4,7.4,450,8,13.6,19.2,49,2.5,7.2,556,15,12.7,25.0,55,2.2,7.3,586,15,10.7,23.5,57,2.5,5.3,488,12,13.4,22.7,46,0.5,7.9,592,8,15.5,25.4,52,0.5,3.1,459,10,10.4,18.4,53,1.2,3.0,565,14,15.8,20.8,48,1.3,7.2,647,14,10.0,18.5,57,0.7,3.7,424,9,11.5,20.6,47,0.0,7.0,616,6,14.8,19.3,41,1.8,3.0,465
Wheat,MP 1203,Sandy loam,Madhya Pradesh,Sagar,Narsinghpur,Rabi,118,6,14.6,20.6,51,0.8,4.0,567,10,10.7,23.6,59,0.8,6.4,510,23,13.3,18.6,63,3.0,4.7,445,21,10.2,20.1,62,2.9,6.0,541,7,12.7,18.8,63,2.7,2.3,530,8,15.2,18.9,59,2.4,7.0,533,5,21.0,27.5,45,2.4,4.3,593,10,18.0,26.5,63,1.1,4.0,497,11,16.1,25.8,55,2.5,3.7,482,10,16.2,22.4,65,1.0,2.9,648,7,16.6,21.1,59,2.8,6.2,594
Wheat,HI 1544,Alluvial loam,Madhya Pradesh,Rewa,Narmadapuram,Rabi,121,7,12.2,24.2,57,0.4,5.9,486,7,10.9,22.3,58,0.5,7.3,401,26,10.7,18.7,49,1.1,2.7,571,24,13.8,18.2,61,2.0,4.1,462,11,9.2,17.8,62,2.2,2.2,456,5,13.5,20.2,59,0.3,2.6,640,5,20.9,26.9,62,1.5,7.2,582,12,20.0,29.0,54,0.8,5.2,604,10,19.7,23.1,60,1.7,6.5,545,9,15.5,24.4,53,1.9,3.3,420,5,16.9,24.2,59,2.1,7.4,606
Wheat,HI 8759 (Pusa Tejas),Medium Black (Vertisol),Madhya Pradesh,Dindori,Gwalior,Rabi,101,4,12.3,20.8,54,1.4,6.2,473,6,15.9,23.2,64,2.7,5.1,592,24,11.2,19.0,57,2.3,2.9,450,18,11.3,19.4,51,0.8,3.1,416,4,12.1,21.9,63,1.2,3.6,540,5,13.6,21.7,65,1.5,5.3,627,4,21.1,27.3,65,1.9,6.3,534,12,19.2,25.3,61,0.5,2.4,524,11,17.1,23.2,55,0.2,3.5,423,7,15.9,24.7,60,1.8,4.3,633,6,10.4,25.8,50,2.1,5.4,576
Lentil,IPL 316,Deep Black (Vertisol),Madhya Pradesh,Hoshangabad,Hoshangabad,Rabi,100,5,13.5,22.6,47,1.4,4.1,558,9,12.1,25.5,49,1.5,6.8,518,15,9.4,21.0,59,0.4,3.0,404,16,14.8,20.3,45,1.9,6.2,558,6,9.7,25.8,57,1.9,5.5,641,2,12.7,23.1,50,2.1,7.7,474,7,8.5,20.0,55,1.1,5.9,450,14,14.1,19.6,51,1.5,5.1,573,13,8.4,22.7,49,0.6,2.2,419,7,8.0,18.1,58,1.2,5.3,410,6,12.3,19.0,44,1.7,3.5,628
Groundnut,JL 24,Deep Black (Vertisol),Madhya Pradesh,Chhindwara,Sausar,Kharif,110,2,24.0,30.9,59,5.2,7.0,696,5,25.2,31.8,52,4.6,3.1,527,11,24.2,31.4,54,5.9,5.3,684,17,24.4,29.1,56,2.1,5.9,597,8,23.7,28.3,68,2.6,7.8,623,7,23.7,28.7,52,5.8,7.3,503,9,22.9,28.2,57,5.6,3.8,695,16,24.2,29.3,53,2.4,5.6,611,12,25.8,30.1,70,3.6,7.6,643,13,22.7,29.4,69,5.3,3.3,531,10,23.7,31.5,61,4.8,2.8,621
Soybean,RVS 2001-4,Red loam,Madhya Pradesh,Narmadapuram,Narmadapuram,Kharif,107,2,22.6,31.9,65,2.7,5.7,619,6,23.2,30.7,67,2.9,7.3,642,20,26.0,30.3,70,4.8,2.6,589,13,25.4,32.3,69,4.9,6.3,684,12,25.2,32.7,66,2.5,4.1,552,4,27.5,31.7,56,5.0,3.9,571,10,25.2,30.1,66,2.9,2.2,507,9,25.1,28.0,70,7.1,6.4,591,15,22.8,27.6,71,4.3,2.1,584,10,23.2,26.4,73,3.5,5.1,654,6,19.0,26.9,72,3.6,4.4,462
Rice,HMT,Clay loam,Madhya Pradesh,Burhanpur,Indore,Kharif,127,5,23.7,33.5,72,9.8,3.0,672,9,22.7,30.4,65,6.0,10.6,522,16,24.2,34.6,80,8.5,10.5,584,20,22.4,33.9,74,8.0,3.8,548,10,22.2,33.8,85,5.9,5.1,579,7,25.6,30.2,69,4.2,4.6,583,9,26.7,30.4,81,4.5,7.3,693,13,27.3,32.6,79,5.7,6.0,644,16,23.0,29.8,78,8.1,8.8,629,13,24.4,29.9,61,6.1,8.1,620,9,20.6,28.3,68,9.5,4.1,634
Rice,IR-64,Medium Black (Vertisol),Madhya Pradesh,Ashoknagar,Anuppur,Kharif,139,7,23.6,32.8,61,7.7,5.6,513,13,25.6,33.2,81,9.5,7.6,474,21,24.6,32.3,65,7.8,5.3,607,20,23.8,33.7,63,4.3,3.3,614,11,26.0,31.0,71,7.6,3.1,457,8,26.7,33.4,81,7.8,5.5,604,10,25.8,33.5,84,6.4,5.9,451,18,24.5,30.3,81,8.6,11.8,517,13,23.6,31.2,67,9.3,7.9,486,12,24.1,30.7,85,6.4,6.5,635,6,18.9,33.0,77,8.2,2.6,666
Groundnut,JL 24,Deep Black (Vertisol),Madhya Pradesh,Damoh,Tarana,Kharif,111,4,24.3,29.5,52,2.6,5.8,533,10,24.2,31.5,68,3.8,6.1,594,11,24.0,31.6,62,5.6,7.4,493,13,24.9,31.6,66,4.2,6.6,583,7,25.4,28.6,63,3.2,2.5,605,8,25.5,30.4,69,5.9,5.6,634,13,23.4,29.0,53,4.4,2.8,532,16,23.9,29.8,55,5.9,2.2,578,16,22.6,28.9,69,3.8,2.6,638,11,22.6,29.1,65,4.9,3.5,491,2,24.0,31.4,68,2.4,2.7,498
